57-93,9-57
55-55,55-83
55-88,78-88
24-24,24-95
7-92,8-93
25-84,84-85
62-85,62-85
66-78,65-76
28-32,31-33
24-81,2-25
45-80,79-80
75-99,75-91
24-49,23-24
22-69,49-69
15-77,76-78
25-50,21-50
29-77,29-64
47-93,46-48
37-42,70-97
5-95,4-6
37-90,74-95
17-48,18-85
2-97,1-89
2-48,1-48
52-70,42-71
17-90,90-94
76-77,2-76
10-89,10-96
40-52,39-53
9-97,8-96
6-74,5-6
3-89,2-89
35-63,62-79
13-39,18-39
45-81,4-46
8-76,39-67
3-76,1-4
1-96,1-1
11-59,58-60
41-53,25-42
5-54,11-93
15-91,95-95
62-62,2-63
11-41,40-42
52-98,51-53
29-52,47-51
15-86,16-86
13-98,28-99
8-13,14-54
47-61,64-95
27-95,10-76
9-27,10-10
23-89,24-24
98-98,15-99
8-92,92-96
2-38,27-87
22-64,20-63
1-6,5-66
23-49,9-48
63-64,35-63
6-7,7-81
23-91,22-92
32-97,33-69
21-24,20-25
35-42,34-43
82-82,15-83
23-34,20-34
37-92,37-86
35-94,30-36
48-52,51-53
7-74,3-73
41-43,42-86
2-5,5-91
98-99,8-98
68-86,67-67
37-54,36-37
3-95,2-96
50-79,25-78
12-71,11-72
91-92,74-91
10-43,9-44
30-93,2-91
20-44,20-54
36-84,35-85
75-76,75-75
54-54,18-55
36-91,14-39
8-25,8-25
16-97,4-96
7-83,2-8
4-4,4-71
1-98,1-98
87-87,33-88
22-88,21-88
8-94,9-89
99-99,5-96
63-92,63-92
42-68,10-69
18-96,19-19
16-90,16-90
9-93,8-94
48-88,87-89
3-68,67-98
72-93,97-98
11-99,11-99
3-99,2-99
83-87,79-86
14-14,5-14
1-2,1-92
9-90,91-94
53-85,84-84
11-89,3-11
13-33,32-86
40-74,74-91
68-71,69-86
17-51,18-51
47-90,47-90
2-3,3-85
7-97,8-75
21-29,28-75
87-93,53-93
49-74,27-95
56-65,55-97
14-16,15-81
7-7,8-71
24-26,23-82
34-56,50-55
10-97,11-96
52-70,16-69
20-56,20-21
27-96,96-97
23-98,15-24
24-72,86-98
44-77,60-88
6-98,5-99
1-96,99-99
8-95,99-99
10-81,4-62
88-88,69-89
30-67,29-68
14-96,15-96
58-86,73-86
7-55,14-54
3-97,62-98
11-86,9-87
41-79,16-41
2-99,1-96
7-56,5-7
25-61,24-62
25-83,26-82
20-82,7-12
36-58,41-58
98-98,16-89
98-99,86-99
18-50,18-93
44-67,40-48
46-90,47-91
21-49,48-66
2-90,89-94
12-25,13-25
5-9,6-44
68-75,70-76
25-99,26-99
95-95,17-96
13-14,13-90
79-99,76-77
87-88,88-89
77-77,6-78
36-92,35-35
10-11,9-9
9-37,8-38
80-91,81-81
17-97,17-99
4-19,18-71
35-92,8-91
30-31,22-30
19-19,18-47
51-79,52-55
4-8,7-77
3-98,3-99
68-76,67-68
86-86,74-93
20-86,35-86
8-98,7-98
56-58,14-63
41-47,42-47
16-89,41-88
21-22,22-52
2-62,3-33
3-83,3-3
87-94,25-86
80-95,95-98
7-57,8-58
3-24,23-23
5-43,2-4
32-85,86-86
39-82,38-83
73-87,21-79
86-94,39-87
87-88,4-87
41-65,48-60
40-70,62-70
3-44,2-43
3-19,19-98
65-98,66-98
79-84,80-83
93-97,91-98
21-96,21-96
30-77,31-83
5-82,2-5
10-82,9-10
84-94,47-50
26-93,27-39
47-95,77-90
30-33,33-81
45-73,46-72
12-59,12-59
31-60,31-59
23-76,39-75
66-88,80-93
58-76,2-75
9-56,36-55
2-94,2-94
75-81,72-80
9-46,10-41
7-93,6-6
99-99,43-97
33-83,33-83
20-85,84-84
61-76,60-94
16-75,17-75
16-18,17-71
6-88,7-35
38-79,6-38
9-42,8-10
18-60,86-95
3-3,2-98
2-99,3-99
78-82,79-82
34-75,23-76
3-12,3-4
16-95,20-95
81-85,66-75
8-87,15-61
37-58,37-37
2-87,1-86
49-89,48-84
56-58,57-88
77-79,3-78
25-92,25-98
14-73,73-74
15-17,1-16
41-84,1-84
34-64,6-63
86-88,28-87
2-87,2-87
68-76,34-69
42-78,54-83
7-92,2-24
2-12,1-11
72-83,64-82
49-93,48-92
31-32,32-59
4-90,4-86
2-65,71-83
21-88,14-78
5-92,93-94
1-10,2-9
40-66,39-40
47-77,46-46
2-99,25-99
37-95,37-95
60-64,60-64
32-51,33-51
22-90,11-88
13-54,12-54
67-77,16-72
7-37,9-90
2-54,53-53
5-5,6-68
8-9,9-31
4-39,40-61
5-95,6-95
1-11,11-95
30-70,30-70
58-58,59-97
11-41,12-44
2-6,1-7
10-58,10-64
3-95,1-3
23-55,8-23
37-60,52-59
6-46,6-47
8-45,27-53
12-95,94-94
43-52,43-44
9-95,10-94
2-9,5-26
5-8,9-97
2-60,3-60
